*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Sep  2 09:28:41 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-May-06 00:00:00.0000 TDB
Stop  time      : A.D. 2018-Nov-26 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458244.500000000, A.D. 2018-May-06 00:00:00.0000, -5.464102102149067E+07, -2.156371965920396E+08, -3.177344916823864E+06,  2.440061156303976E+01, -3.872260260288258E+00, -6.799266307208163E-01,  7.420968079637909E+02,  2.224750261334188E+08, -2.229960951340714E+00,
2458245.500000000, A.D. 2018-May-07 00:00:00.0000, -5.253038014315122E+07, -2.159620462968051E+08, -3.235946615728736E+06,  2.445647363683581E+01, -3.647254941493203E+00, -6.765825729776012E-01,  7.414546686055555E+02,  2.222825175968349E+08, -2.226220203170370E+00,
2458246.500000000, A.D. 2018-May-08 00:00:00.0000, -5.041500181507777E+07, -2.162674159129252E+08, -3.294256372969761E+06,  2.451027204016915E+01, -3.421335178650620E+00, -6.731687061988358E-01,  7.408136376297920E+02,  2.220903413449566E+08, -2.222269091240470E+00,
2458247.500000000, A.D. 2018-May-09 00:00:00.0000, -4.829506503287773E+07, -2.165532271960935E+08, -3.352268156843320E+06,  2.456199068615561E+01, -3.194518738236205E+00, -6.696850148444728E-01,  7.401737757582749E+02,  2.218985155817140E+08, -2.218106914238237E+00,
2458248.500000000, A.D. 2018-May-10 00:00:00.0000, -4.617075017863771E+07, -2.168194034493975E+08, -3.409975934065357E+06,  2.461161360305815E+01, -2.966823665562066E+00, -6.661314944661790E-01,  7.395351439118671E+02,  2.217070585707223E+08, -2.213733007204298E+00,
2458249.500000000, A.D. 2018-May-11 00:00:00.0000, -4.404223901135406E+07, -2.170658695486599E+08, -3.467373670486316E+06,  2.465912492303539E+01, -2.738268298162012E+00, -6.625081444768525E-01,  7.388978032041463E+02,  2.215159886333713E+08, -2.209146726588622E+00,
2458250.500000000, A.D. 2018-May-12 00:00:00.0000, -4.190971465676486E+07, -2.172925519679042E+08, -3.524455331881315E+06,  2.470450887981112E+01, -2.508871272373772E+00, -6.588149645815504E-01,  7.382618149349228E+02,  2.213253241468816E+08, -2.204347444293890E+00,
2458251.500000000, A.D. 2018-May-13 00:00:00.0000, -3.977336159667330E+07, -2.174993788050976E+08, -3.581214884785920E+06,  2.474774982032019E+01, -2.278651526029584E+00, -6.550519575897672E-01,  7.376272405842600E+02,  2.211350835425127E+08, -2.199334548235769E+00,
